Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
10464,40.8846392,-73.7992693,115,28.26,42.6,33.3,27.3,78.8,2.7,5.5,8.2,93365.0,114025.0,8.1,6.0
10465,40.8143307,-73.8132314,1403,35.71,26.3,37.7,21.3,60.3,12.8,3.1,15.9,74796.0,90281.0,12.2,6.6
10466,40.8765372,-73.8360112,2160,44.01,23.3,29.8,16.0,11.1,73.1,3.0,76.1,51477.0,68430.0,19.7,10.1
10467,40.8661496,-73.8687451,3039,44.29,19.2,26.7,14.2,22.6,35.3,5.8,41.1,37015.0,51062.0,27.9,12.5
10468,40.8728849,-73.8927297,2252,46.36,15.1,23.2,12.1,12.6,21.0,2.9,23.9,36046.0,48780.0,32.1,10.7
10469,40.8590451,-73.8302018,2686,45.34,25.0,32.2,20.4,18.8,54.3,6.5,60.8,63652.0,78921.0,15.1,8.8
10470,40.8985592,-73.861899,412,38.94,31.3,32.4,21.4,42.6,39.1,3.5,42.6,57160.0,76959.0,12.4,6.9
10471,40.8929133,-73.8972176,555,35.9,54.7,50.0,29.4,68.7,11.8,6.2,18.0,85707.0,121901.0,10.0,7.2
10472,40.837364,-73.8739453,1763,46.98,12.3,20.5,14.0,14.9,27.4,6.7,34.1,30977.0,46699.0,34.4,11.1
10473,40.8226715,-73.8673925,1767,41.65,18.1,26.7,17.7,37.5,41.2,1.7,42.9,41638.0,60660.0,25.7,9.4
10474,40.8174022,-73.8830298,296,41.51,11.6,21.9,10.1,9.2,39.4,0.1,39.5,25493.0,42633.0,42.9,11.1
10475,40.8689022,-73.8303521,1592,38.88,28.3,30.1,29.5,17.8,60.8,2.8,63.6,50832.0,63502.0,10.5,6.8
11004,40.7451529,-73.7122547,528,52.38,42.5,37.8,24.3,42.0,6.6,42.9,49.5,92657.0,108778.0,6.0,4.7
11101,40.7467243,-73.9553691,559,33.8,48.0,33.3,10.7,43.0,15.7,22.8,38.5,65392.0,103022.0,18.6,7.5
11102,40.765343,-73.922331,547,38.17,48.1,39.4,14.1,59.1,9.6,15.1,24.7,64067.0,87613.0,17.5,5.7
11103,40.762568,-73.9136817,482,36.32,51.7,49.6,13.5,70.9,2.7,14.9,17.6,71437.0,87030.0,12.0,6.4
11104,40.7440657,-73.9211014,443,38.06,45.9,35.5,16.1,66.8,1.9,22.1,24.0,61269.0,80842.0,12.0,5.5
11105,40.7757024,-73.9094548,452,32.82,48.6,41.4,15.5,74.5,2.6,12.5,15.1,73959.0,94627.0,10.6,4.6
11106,40.7611928,-73.92963,579,37.12,49.9,40.6,15.8,54.0,7.1,21.1,28.2,63703.0,80566.0,13.4,7.1
11109,40.7462763,-73.9568408,47,21.76,83.6,49.4,2.4,67.1,4.5,25.1,29.6,148590.0,176615.0,5.6,3.7
11201,40.694796,-73.982453,596,27.12,74.1,44.0,14.4,64.1,13.6,11.8,25.4,124996.0,184989.0,13.0,5.4
11203,40.6490539,-73.9340345,1856,44.18,23.5,31.4,21.6,4.4,89.0,1.9,90.9,51277.0,67925.0,16.3,6.5
11204,40.6173361,-73.9853331,1782,39.3,27.2,22.0,17.0,58.1,1.2,31.9,33.1,49785.0,72448.0,22.8,7.0
11205,40.6905851,-73.9656037,647,32.17,45.1,32.0,9.6,49.0,31.8,6.9,38.7,56708.0,86795.0,29.2,8.4
11206,40.6976462,-73.9424159,1381,37.61,27.2,22.4,12.2,47.2,26.5,6.9,33.4,36404.0,61423.0,36.6,9.4
11207,40.6741755,-73.8995612,1850,41.19,15.5,28.2,14.4,14.5,64.3,1.4,65.7,37243.0,53854.0,28.9,9.6
11208,40.6743368,-73.8653419,2065,45.63,14.7,22.4,11.9,25.9,54.4,5.7,60.1,40733.0,57398.0,25.8,6.9
11209,40.6181531,-74.0310322,1033,34.27,49.9,32.9,20.9,73.8,3.1,13.4,16.5,72314.0,98949.0,13.3,5.7
11210,40.6274202,-73.9456582,1524,42.91,35.6,27.7,16.5,31.1,58.6,4.3,62.9,65900.0,89162.0,12.4,6.4
11211,40.7100543,-73.9611543,1848,36.09,49.6,22.8,10.9,74.7,6.4,5.6,12.0,71225.0,110045.0,26.2,4.9
